"","Event","bw"
"568","1990T04005",37
"569","1990T04005",37
"570","1990T04005",37
"571","1990T04005",38
"572","1990T04005",38
"573","1990T04005",38
"574","1990T04005",38
"575","1990T04005",38
"576","1990T04005",38
"577","1990T04005",38
"578","1990T04005",38
"579","1990T04005",38
"580","1990T04005",38
"581","1990T04005",38
"582","1990T04005",39
"583","1990T04005",39
"584","1990T04005",39
"585","1990T04005",39
"586","1990T04005",39
"587","1990T04005",40
"588","1990T04005",40
"589","1990T04005",40
"590","1990T04005",40
"591","1990T04005",40
"592","1990T04005",40
"593","1990T04005",40
"594","1990T04005",41
"595","1990T04005",41
"596","1990T04005",41
"597","1990T04005",41
"598","1990T04005",42
"599","1990T04005",42
"600","1990T04005",43
"601","1990T04005",50
"602","1990T04005",52
"603","1990T04006",127
"604","1990T04006",128
"605","1990T04006",128
"606","1990T04006",128
"607","1990T04006",129
"608","1990T04006",130
"609","1990T04006",130
"610","1990T04006",133
"611","1990T04006",133
"612","1990T04006",133
"613","1990T04006",135
"614","1990T04006",137
"615","1990T04006",137
"616","1990T04006",138
"617","1990T04006",141
"618","1990T04006",146
"619","1990T04006",154
"620","1990T04006",156
"621","1990T04006",35
"622","1990T04006",40
"623","1990T04006",73
"624","1990T04006",73
"625","1990T04006",74
"626","1990T04006",76
"627","1990T04006",80
"628","1990T04006",81
"629","1990T04006",81
"630","1990T04006",85
"631","1990T04006",86
"632","1990T04006",86
"633","1990T04006",86
"634","1990T04006",88
"635","1990T04006",88
"636","1990T04006",90
"637","1990T04006",91
"638","1990T04006",97
"639","1990T04006",97
"640","1990T04006",97
"641","1990T04006",98
"642","1990T04006",99
"643","1990T04006",99
"644","1990T04006",100
"645","1990T04006",100
"646","1990T04006",100
"647","1990T04006",101
"648","1990T04006",102
"649","1990T04006",102
"650","1990T04006",102
"651","1990T04006",103
"652","1990T04006",104
"653","1990T04006",104
"654","1990T04006",105
"655","1990T04006",106
"656","1990T04006",106
"657","1990T04006",106
"658","1990T04006",107
"659","1990T04006",108
"660","1990T04006",108
"661","1990T04006",108
"662","1990T04006",109
"663","1990T04006",109
"664","1990T04006",109
"665","1990T04006",110
"666","1990T04006",110
"667","1990T04006",111
"668","1990T04006",111
"669","1990T04006",111
"670","1990T04006",111
"671","1990T04006",111
"672","1990T04006",111
"673","1990T04006",112
"674","1990T04006",114
"675","1990T04006",115
"676","1990T04006",115
"677","1990T04006",116
"678","1990T04006",116
"679","1990T04006",116
"680","1990T04006",117
"681","1990T04006",117
"682","1990T04006",119
"683","1990T04006",120
"684","1990T04006",120
"685","1990T04006",120
"686","1990T04006",121
"687","1990T04006",121
"688","1990T04006",121
"689","1990T04006",123
"690","1990T04006",123
"691","1990T04006",123
"692","1990T04006",125
"693","1990T04006",125
"694","1990T04010",134
"695","1990T04010",136
"696","1990T04010",142
"697","1990T04010",151
"698","1990T04010",156
"699","1990T04010",158
"700","1990T04010",162
"701","1990T04010",166
"702","1990T04010",167
"703","1990T04010",169
"704","1990T04010",174
"705","1990T04010",177
"706","1990T04010",22
"707","1990T04010",25
"708","1990T04010",26
"709","1990T04010",27
"710","1990T04010",28
"711","1990T04010",30
"712","1990T04010",34
"713","1990T04010",34
"714","1990T04010",35
"715","1990T04010",35
"716","1990T04010",35
"717","1990T04010",35
"718","1990T04010",36
"719","1990T04010",37
"720","1990T04010",39
"721","1990T04010",41
"722","1990T04010",41
"723","1990T04010",42
"724","1990T04010",42
"725","1990T04010",43
"726","1990T04010",43
"727","1990T04010",43
"728","1990T04010",43
"729","1990T04010",43
"730","1990T04010",45
"731","1990T04010",45
"732","1990T04010",45
"733","1990T04010",45
"734","1990T04010",45
"735","1990T04010",46
"736","1990T04010",46
"737","1990T04010",47
"738","1990T04010",47
"739","1990T04010",47
"740","1990T04010",48
"741","1990T04010",48
"742","1990T04010",48
"743","1990T04010",49
"744","1990T04010",50
"745","1990T04010",50
"746","1990T04010",51
"747","1990T04010",52
"748","1990T04010",52
"749","1990T04010",52
"750","1990T04010",52
"751","1990T04010",57
"752","1990T04010",57
"753","1990T04010",58
"754","1990T04010",58
"755","1990T04010",59
"756","1990T04010",59
"757","1990T04010",59
"758","1990T04010",59
"759","1990T04010",59
"760","1990T04010",59
"761","1990T04010",88
"762","1990T04010",88
"763","1990T04010",90
"764","1990T04010",91
"765","1990T04010",92
"766","1990T04010",94
"767","1990T04010",97
"768","1990T04010",99
"769","1990T04010",101
"770","1990T04010",101
"771","1990T04010",102
"772","1990T04010",104
"773","1990T04010",112
"774","1990T04010",114
"775","1990T04010",118
"776","1990T04010",125
"777","1990T04010",128
"778","1990T04010",134
"779","1990T04010",55
"780","1990T04010",55
